danceability,playlist_genre,valence,track_artist,track_popularity,track_album_name,track_id,track_name,track_album_release_date,instrumentalness,acousticness
0.501,afrobeats,0.623,"Bnxn, Rema",71,Fi Kan We Kan,771KDfpsOtJPQmocQpMdkR,Fi Kan We Kan,2024-10-15,9.25e-05,0.109
0.502,afrobeats,0.645,"Asake, Wizkid",72,Lungu Boy,13VXuHw3O8Yt7VwRIDqSo4,MMS,2024-08-08,0.0341,0.677
0.694,latin,0.471,"Oscar Maydon, Fuerza Regida",93,Tu Boda,1cOboCuWYI2osTOfolMRS6,Tu Boda,2024-09-26,1.36e-05,0.496
0.805,latin,0.528,"Cris Mj, FloyyMenor, LOUKI",86,MJ,6PhRhocBXP4y7NpciGmzra,Después De La 1,2024-09-12,0.0202,0.0303
0.833,latin,0.343,"Rauw Alejandro, Bad Bunny",82,Cosa Nuestra,0l0vcZMU7AOeQmUIREoI2U,Qué Pasaría...,2024-11-15,1.27e-05,0.528
0.779,latin,0.445,"Danny Ocean, Kapo",76,Imagínate,4zbEItKoaRId1vRZkoO0Uh,Imagínate,2024-11-07,0.0,0.134
0.863,latin,0.307,"Natanael Cano, Uriel Gaxiola, Ganggy, Victor Mendivil",72,Kamikaze (feat. Victor Mendivil),6fKvGaO8Dfntvx4thaXtak,Kamikaze (feat. Victor Mendivil),2024-11-14,8.45e-06,0.0843
0.69,latin,0.356,Fuerza Regida,88,PERO NO TE ENAMORES,5AH31dDNgxCMGDdxubNNn4,NEL,2024-07-25,0.0004,0.523
0.924,latin,0.787,KAROL G,93,Si Antes Te Hubiera Conocido,6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,2024-06-21,0.000594,0.446
0.816,latin,0.782,"Blessd, Anuel AA",72,DEPORTIVO,0fKK51bU6lcCCwdNnv64t3,DEPORTIVO,2024-11-14,0.000404,0.534
0.848,latin,0.564,"Maria Becerra, Yandel",74,SEXO ES LA MODA,4U80gkwi6Qk0fBRcDuzn3E,SEXO ES LA MODA,2024-10-31,1.9e-05,0.183
0.848,latin,0.692,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",84,+57,3mg9jYNC1NihbthlglzrWP,+57,2024-11-08,0.0,0.221
0.687,latin,0.47,"Rauw Alejandro, Romeo Santos",78,Cosa Nuestra,1YYfyJ2yCvGFCxwjsIqEK9,Khé?,2024-11-15,0.0,0.326
0.753,latin,0.826,"Joyce Santana, Feid",72,Ferxxoko,12VjaTNEaCfDlvW1XPZTQ9,Ferxxoko,2024-10-31,0.0,0.0189
0.556,latin,0.681,"Duki, Myke Towers",82,AMERI,03IpZ9yqJlo3EIgDQUgBSF,Nueva Era,2024-10-31,0.0,0.267
